Id,SalePrice
217,210000
218,107000
219,311500
220,167240
221,204900
222,200000
223,179900
224,97000
225,386250
226,112000
227,290000
228,106000
229,125000
230,192500
231,148000
232,403000
233,94500
234,128200
235,216500
236,89500
237,185500
238,194500
239,318000
240,113000
241,262500
242,110500
243,79000
244,120000
245,205000
246,241500
247,137000
248,140000
249,180000
250,277000
251,76500
252,235000
253,173000
254,158000
255,145000
256,230000
257,207500
258,220000
259,231500
260,97000
261,176000
262,276000
263,151000
264,130000
265,73000
266,175500
267,185000
268,179500
269,120500
270,148000
271,266000
272,241500
273,290000
274,139000
275,124500
276,205000
277,201000
278,141000
279,415298
280,192000
281,228500
282,185000
283,207500
284,244600
285,179200
286,164700
287,159000
288,88000
289,122000
290,153575
291,233230
292,135900
293,131000
294,235000
295,167000
296,142500
297,152000
298,239000
299,175000
300,158500
301,157000
302,267000
303,205000
304,149900
305,295000
306,305900
307,225000
308,89500
309,82500
310,360000
311,165600
312,132000
313,119900
314,375000
315,178000
316,188500
317,260000
318,270000
319,260000
320,187500
321,342643
322,354000
323,301000
324,126175
325,242000
326,87000
327,324000
328,145250
329,214500
330,78000
331,119000
332,139000
333,284000
334,207000
335,192000
336,228950
337,377426
338,214000
339,202500
340,155000
341,202900
342,82000
343,87500
344,266000
345,85000
346,140200
347,151500
348,157500
349,154000
350,437154
351,318061
352,190000
353,95000
354,105900
355,140000
356,177500
357,173000
358,134000
359,130000
360,280000
361,156000
362,145000
363,198500
364,118000
365,190000
366,147000
367,159000
368,165000
369,132000
370,162000
371,172400
372,134432
373,125000
374,123000
375,219500
376,61000
377,148000
378,340000
379,394432
380,179000
381,127000
382,187750
383,213500
384,76000
385,240000
386,192000
387,81000
388,125000
389,191000
390,426000
391,119000
392,215000
393,106500
394,100000
395,109000
396,129000
397,123000
398,169500
399,67000
400,241000
401,245500
402,164990
403,108000
404,258000
405,168000
406,150000
407,115000
408,177000
409,280000
410,339750
411,60000
412,145000
413,222000
414,115000
415,228000
416,181134
417,149500
418,239000
419,126000
420,142000
421,206300
422,215000
423,113000
424,315000
425,139000
426,135000
427,275000
428,109008
429,195400
430,175000
431,85400
432,79900
433,122500
434,181000
435,81000
436,212000
437,116000
438,119000
439,90350
440,110000
441,555000
442,118000
443,162900
444,172500
445,210000
446,127500
447,190000
448,199900
449,119500
450,120000
451,110000
452,280000
453,204000
454,210000
455,188000
456,175500
457,98000
458,256000
459,161000
460,110000
461,263435
462,155000
463,62383
464,188700
465,124000
466,178740
467,167000
468,146500
469,250000
470,187000
471,212000
472,190000
473,148000
474,440000
475,251000
476,132500
477,208900
478,380000
479,297000
480,89471
481,326000
482,374000
483,155000
484,164000
485,132500
486,147000
487,156000
488,175000
489,160000
490,86000
491,115000
492,133000
493,172785
494,155000
495,91300
496,34900
497,430000
498,184000
499,130000
500,120000
501,113000
502,226700
503,140000
504,289000
505,147000
506,124500
507,215000
508,208300
509,161000
510,124500
511,164900
512,202665
513,129900
514,134000
515,96500
516,402861
517,158000
518,265000
519,211000
520,234000
521,106250
522,150000
523,159000
524,184750
525,315750
526,176000
527,132000
528,446261
529,86000
530,200624
531,175000
532,128000
533,107500
534,39300
535,178000
536,107500
537,188000
538,111250
539,158000
540,272000
541,315000
542,248000
543,213250
544,133000
545,179665
546,229000
547,210000
548,129500
549,125000
550,263000
551,140000
552,112500
553,255500
554,108000
555,284000
556,113000
557,141000
558,108000
559,175000
560,234000
561,121500
562,170000
563,108000
564,185000
565,268000
566,128000
567,325000
568,214000
569,316600
570,135960
571,142600
572,120000
573,224500
574,170000
575,139000
576,118500
577,145000
578,164500
579,146000
580,131500
581,181900
582,253293
583,118500
584,325000
585,133000
586,369900
587,130000
588,137000
589,143000
590,79500
591,185900
592,451950
593,138000
594,140000
595,110000
596,319000
597,114504
598,194201
599,217500
600,151000
601,275000
602,141000
603,220000
604,151000
605,221000
606,205000
607,152000
608,225000
609,359100
610,118500
611,313000
612,148000
613,261500
614,147000
615,75500
616,137500
617,183200
618,105500
619,314813
620,305000
621,67000
622,240000
623,135000
624,168500
625,165150
626,160000
627,139900
628,153000
629,135000
630,168500
631,124000
632,209500
633,82500
634,139400
635,144000
636,200000
637,60000
638,93000
639,85000
640,264561
641,274000
642,226000
643,345000
644,152000
645,370878
646,143250
647,98300
648,155000
649,155000
650,84500
651,205950
652,108000
653,191000
654,135000
655,350000
656,88000
657,145500
658,149000
659,97500
660,167000
661,197900
662,402000
663,110000
664,137500
665,423000
666,230500
667,129000
668,193500
669,168000
670,137500
671,173500
672,103600
673,165000
674,257500
675,140000
676,148500
677,87000
678,109500
679,372500
680,128500
681,143000
682,159434
683,173000
684,285000
685,221000
686,207500
687,227875
688,148800
689,392000
690,194700
691,141000
692,755000
693,335000
694,108480
695,141500
696,176000
697,89000
698,123500
699,138500
700,196000
701,312500
702,140000
703,361919
704,140000
705,213000
706,55000
707,302000
708,254000
709,179540
710,109900
711,52000
712,102776
713,189000
714,129000
715,130500
716,165000
717,159500
718,157000
719,341000
720,128500
721,275000
722,143000
723,124500
724,135000
725,320000
726,120500
727,222000
728,194500
729,110000
730,103000
731,236500
732,187500
733,222500
734,131400
735,108000
736,163000
737,93500
738,239900
739,179000
740,190000
741,132000
742,142000
743,179000
744,175000
745,180000
746,299800
747,236000
748,265979
749,260400
750,98000
751,96500
752,162000
753,217000
754,275500
755,156000
756,172500
757,212000
758,158900
759,179400
760,290000
761,127500
762,100000
763,215200
764,337000
765,270000
766,264132
767,196500
768,160000
769,216837
770,538000
771,134900
772,102000
773,107000
774,114500
775,395000
776,162000
777,221500
778,142500
779,144000
780,135000
781,176000
782,175900
783,187100
784,165500
785,128000
786,161500
787,139000
788,233000
789,107900
790,187500
791,160200
792,146800
793,269790
794,225000
795,194500
796,171000
797,143500
798,110000
799,485000
800,175000
801,200000
802,109900
803,189000
804,582933
805,118000
806,227680
807,135500
808,223500
809,159950
810,106000
811,181000
812,144500
813,55993
814,157900
815,116000
816,224900
817,137000
818,271000
819,155000
820,224000
821,183000
822,93000
823,225000
824,139500
825,232600
826,385000
827,109500
828,189000
829,185000
830,147400
831,166000
832,151000
833,237000
834,167000
835,139950
836,128000
837,153500
838,100000
839,144000
