ID,FormRE,Area,Height,Width,Direction,RoadInFront,Juridical,NumOfBed,Terrace,CarParking,DinningRoom,Kitchen,Price
48,"Nhà, ngõ, hẻm",,12.0,4.0,,,,4.0,,,,,2900000000.0
49,"Đất thổ cư, đất ở",,26.0,5.0,Đông,,Số đỏ/ Sổ hồng,,,,,,725000000.0
50,"Biệt thự, nhà liền kề",,20.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,15000000.0
51,"Đất thổ cư, đất ở",,22.0,10.0,,,Số đỏ/ Sổ hồng,,,,,,3561000000.0
52,"Biệt thự, nhà liền kề",,18.0,5.0,Đông Nam,,,4.0,,,,,3800000000.0
53,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1750000000.0
54,"Nhà, ngõ, hẻm",,11.0,8.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1250000000.0
55,"Đất thổ cư, đất ở",,20.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,5050000000.0
56,"Nhà, ngõ, hẻm",,10.0,4.0,Tây Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,2300000000.0
57,"Đất thổ cư, đất ở",,43.0,6.0,Bắc,,Số đỏ/ Sổ hồng,,,,,,2560000000.0
58,"Nhà, ngõ, hẻm",,8.3,3.8,,,Số đỏ/ Sổ hồng,2.0,,,,,3600000000.0
59,"Đất thổ cư, đất ở",,21.0,73.0,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,2650000000.0
60,"Biệt thự, nhà liền kề",,12.0,10.0,,,Số đỏ/ Sổ hồng,5.0,,,,,13500000000.0
61,"Nhà, ngõ, hẻm",,9.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,2850000000.0
62,"Nhà, ngõ, hẻm",,12.0,4.0,,,,2.0,,,,,1950000000.0
63,"Nhà, ngõ, hẻm",,23.0,7.0,Tây Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,1830000000.0
64,"Đất thổ cư, đất ở",,16.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1100000000.0
65,"Nhà mặt phố, nhà mặt tiền",,15.0,5.0,Đông,,Số đỏ/ Sổ hồng,3.0,,,,,5350000000.0
66,"Nhà mặt phố, nhà mặt tiền",,23.0,4.0,Đông Nam,,Số đỏ/ Sổ hồng,5.0,,,,,12000000000.0
67,"Đất thổ cư, đất ở",,11.0,5.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,2400000.0
68,"Nhà, ngõ, hẻm",,10.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,3400000000.0
69,"Đất nền, đất liền kề, đất dự án",,23.0,12.0,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,6000000000.0
70,"Nhà mặt phố, nhà mặt tiền",,15.0,6.0,Tây Nam,,Số đỏ/ Sổ hồng,3.0,,,,,12000000000.0
71,"Nhà mặt phố, nhà mặt tiền",,31.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,5300000000.0
72,"Đất thổ cư, đất ở",,55.0,8.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,4500000000.0
73,"Đất thổ cư, đất ở",,38.0,10.0,,,Số đỏ/ Sổ hồng,,,,,,2250000000.0
74,"Đất nông, công, lâm nghiệp",,20.0,26.0,,,Số đỏ/ Sổ hồng,,,,,,2700000000.0
75,"Nhà, ngõ, hẻm",,16.0,3.0,Đông Nam,,Số đỏ/ Sổ hồng,2.0,,,,,5600000000.0
76,"Đất thổ cư, đất ở",,45.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,570000000.0
77,"Nhà, ngõ, hẻm",,19.0,6.0,,,Số đỏ/ Sổ hồng,4.0,,,,,11000000000.0
78,"Đất nông, công, lâm nghiệp",,250.0,200.0,Đông,,Số đỏ/ Sổ hồng,,,,,,15000000000.0
79,"Đất thổ cư, đất ở",,15.8,5.1,Nam,,Số đỏ/ Sổ hồng,,,,,,4300000000.0
80,"Biệt thự, nhà liền kề",,18.0,7.0,Tây Nam,,Giấy tờ hợp lệ,5.0,,,,,17400000000.0
81,"Đất thổ cư, đất ở",,16.0,6.0,Đông Nam,,,,,,,,1900000000.0
82,"Nhà mặt phố, nhà mặt tiền",,24.0,5.0,Tây Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,6700000000.0
83,"Nhà, ngõ, hẻm",,22.0,6.0,,,Số đỏ/ Sổ hồng,10.0,,,,,42000000000.0
84,"Nhà, ngõ, hẻm",,8.3,3.1,,,Số đỏ/ Sổ hồng,2.0,,,,,5300000000.0
85,"Nhà mặt phố, nhà mặt tiền",,13.0,6.0,,,,2.0,,,,,3150000000.0
86,"Đất thổ cư, đất ở",,1.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,28000000000.0
87,"Đất thổ cư, đất ở",,30.0,6.0,,,Giấy tờ hợp lệ,,,,,,700000.0
88,"Nhà mặt phố, nhà mặt tiền",,10.0,9.8,Bắc,,,3.0,,,,,2380000000.0
89,"Biệt thự, nhà liền kề",,20.0,6.0,Tây Bắc,,,5.0,,,,,1250000000.0
90,"Đất thổ cư, đất ở",,15.0,6.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,3200000000.0
91,"Nhà mặt phố, nhà mặt tiền",,19.0,8.0,Đông Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,1279000000.0
92,"Đất thổ cư, đất ở",,17.5,5.0,Bắc,,Số đỏ/ Sổ hồng,,,,,,12000000.0
93,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1570000000.0
94,"Nhà, ngõ, hẻm",,12.0,4.5,,,Số đỏ/ Sổ hồng,2.0,,,,,4100000000.0
95,"Đất thổ cư, đất ở",,11.5,4.3,,,Số đỏ/ Sổ hồng,,,,,,1100000000.0
96,"Đất thổ cư, đất ở",,150.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,850000000.0
97,"Đất thổ cư, đất ở",,20.0,5.0,Đông,,,,,,,,800000000.0
98,"Nhà, ngõ, hẻm",,6.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,3500000000.0
99,"Đất thổ cư, đất ở",,25.0,5.07,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,2300000000.0
100,"Đất nền, đất liền kề, đất dự án",,20.0,5.0,,,,,,,,,1200000000.0
101,"Nhà, ngõ, hẻm",,14.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,2870000000.0
102,"Đất thổ cư, đất ở",,38.0,15.0,,,,,,,,,2000000000.0
103,"Biệt thự, nhà liền kề",,16.0,4.0,Tây Nam,,Số đỏ/ Sổ hồng,4.0,,,,,4700000000.0
104,"Đất thổ cư, đất ở",,20.0,4.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,3350000000.0
105,"Đất thổ cư, đất ở",,30.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,390000000.0
106,"Đất thổ cư, đất ở",,71.0,17.0,,,Số đỏ/ Sổ hồng,,,,,,1600000000.0
107,"Đất nông, công, lâm nghiệp",,40.0,71.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,4500000.0
108,"Nhà mặt phố, nhà mặt tiền",,10.0,5.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1470000000.0
109,"Nhà mặt phố, nhà mặt tiền",,40.0,6.0,Tây,,Số đỏ/ Sổ hồng,2.0,,,,,7000000000.0
110,"Nhà, ngõ, hẻm",,10.6,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,3800000000.0
111,"Đất nông, công, lâm nghiệp",,36.5,36.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,620000000.0
112,"Đất thổ cư, đất ở",,33.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,670000000.0
113,"Nhà mặt phố, nhà mặt tiền",,12.0,4.0,Đông,,Số đỏ/ Sổ hồng,2.0,,,,,4100000000.0
114,"Đất thổ cư, đất ở",,20.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,4250000000.0
115,"Nhà mặt phố, nhà mặt tiền",,9.0,4.0,Nam,,Số đỏ/ Sổ hồng,3.0,,,,,2850000000.0
116,"Nhà, ngõ, hẻm",,17.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,2400000000.0
117,"Đất thổ cư, đất ở",,16.0,3.0,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,1600000000.0
118,"Nhà mặt phố, nhà mặt tiền",,22.9,5.0,Tây,,Số đỏ/ Sổ hồng,10.0,,,,,12000000000.0
119,"Đất thổ cư, đất ở",,20.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,2550000000.0
120,"Biệt thự, nhà liền kề",,12.0,8.0,,,Số đỏ/ Sổ hồng,5.0,,,,,1600000000.0
121,"Đất nền, đất liền kề, đất dự án",,18.0,7.0,,,Số đỏ/ Sổ hồng,,,,,,1600000000.0
122,"Nhà mặt phố, nhà mặt tiền",,12.0,3.0,,,Số đỏ/ Sổ hồng,4.0,,,,,6000000000.0
123,"Đất thổ cư, đất ở",,17.0,6.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,450000000.0
124,"Đất thổ cư, đất ở",,50.0,24.0,,,Số đỏ/ Sổ hồng,,,,,,2000000000.0
125,"Biệt thự, nhà liền kề",,13.0,5.0,Đông Bắc,,,4.0,,,,,15000000000.0
126,"Nhà, ngõ, hẻm",,16.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,3500000000.0
127,"Đất thổ cư, đất ở",,29.0,6.0,Đông,,Số đỏ/ Sổ hồng,,,,,,2495000000.0
128,"Nhà mặt phố, nhà mặt tiền",,15.0,4.0,,,,4.0,,,,,6350000000.0
129,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,600000000.0
130,"Đất nông, công, lâm nghiệp",,200.0,70.0,,,,,,,,,9200000000.0
131,"Đất thổ cư, đất ở",,18.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1000000000.0
132,"Đất thổ cư, đất ở",,22.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1900000000.0
133,"Đất thổ cư, đất ở",,30.0,10.0,Tây,,Số đỏ/ Sổ hồng,,,,,,280000000.0
134,"Đất nền, đất liền kề, đất dự án",,16.0,7.0,,,Số đỏ/ Sổ hồng,,,,,,3525000000.0
135,"Đất thổ cư, đất ở",,74.0,27.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,7050000000.0
136,"Đất thổ cư, đất ở",,12.0,15.0,,,Số đỏ/ Sổ hồng,,,,,,12000000.0
137,"Nhà, ngõ, hẻm",,8.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,3550000000.0
138,"Biệt thự, nhà liền kề",,31.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,9.0,,,,,7900000000.0
139,"Nhà, ngõ, hẻm",,9.0,4.0,Tây Nam,,Số đỏ/ Sổ hồng,3.0,,,,,2480000000.0
140,"Đất thổ cư, đất ở",,30.0,10.0,Tây,,Số đỏ/ Sổ hồng,,,,,,280000000.0
141,"Đất thổ cư, đất ở",,100.0,22.0,,,Số đỏ/ Sổ hồng,,,,,,700000000.0
142,"Nhà mặt phố, nhà mặt tiền",,27.0,3.8,Nam,,Số đỏ/ Sổ hồng,2.0,,,,,3500000000.0
143,"Nhà, ngõ, hẻm",,17.0,5.9,,,Số đỏ/ Sổ hồng,6.0,,,,,21000000000.0
144,"Nhà mặt phố, nhà mặt tiền",,20.0,5.0,,,,3.0,,,,,3750000000.0
145,"Nhà mặt phố, nhà mặt tiền",,35.0,4.7,,,Số đỏ/ Sổ hồng,2.0,,,,,15000000000.0
146,"Biệt thự, nhà liền kề",,17.0,13.0,Đông Nam,,,4.0,,,,,13586000000.0
147,"Đất thổ cư, đất ở",,70.0,330.0,,,Số đỏ/ Sổ hồng,,,,,,59500000000.0
148,"Nhà, ngõ, hẻm",,14.5,3.8,Đông Nam,,Số đỏ/ Sổ hồng,1.0,,,,,4900000000.0
149,"Đất thổ cư, đất ở",,19.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,1200000000.0
150,"Đất nền, đất liền kề, đất dự án",,250.0,200.0,,,,,,,,,160000000000.0
151,"Nhà mặt phố, nhà mặt tiền",,61.0,73.0,Đông Nam,,Số đỏ/ Sổ hồng,1.0,,,,,2400000000.0
152,"Nhà mặt phố, nhà mặt tiền",,22.0,6.0,,,,6.0,,,,,11200000000.0
153,"Đất thổ cư, đất ở",,17.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1450000000.0
154,"Đất thổ cư, đất ở",,25.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,890000000.0
155,"Nhà mặt phố, nhà mặt tiền",,10.0,5.3,,,Số đỏ/ Sổ hồng,4.0,,,,,12000000000.0
156,"Đất thổ cư, đất ở",,25.0,5.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,1480000000.0
157,"Đất thổ cư, đất ở",,18.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1200000000.0
158,"Đất nền, đất liền kề, đất dự án",,15.0,5.0,Đông Nam,,Giấy tờ hợp lệ,,,,,,6900000000.0
159,"Đất nền, đất liền kề, đất dự án",,20.0,5.0,Nam,,Số đỏ/ Sổ hồng,,,,,,886000000.0
160,"Đất nền, đất liền kề, đất dự án",,21.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,6400000000.0
161,"Nhà, ngõ, hẻm",,13.0,5.0,Tây,,Số đỏ/ Sổ hồng,2.0,,,,,6800000000.0
162,"Đất thổ cư, đất ở",,16.0,5.0,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,1130000000.0
163,"Đất thổ cư, đất ở",,34.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1600000000.0
164,"Đất thổ cư, đất ở",,7.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,3400000000.0
165,"Đất nông, công, lâm nghiệp",,98.0,60.0,,,Số đỏ/ Sổ hồng,,,,,,800000000.0
166,"Đất thổ cư, đất ở",,100.0,20.0,,,Số đỏ/ Sổ hồng,,,,,,8000000000.0
167,"Đất thổ cư, đất ở",,15.0,5.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,600000000.0
168,"Nhà mặt phố, nhà mặt tiền",,16.0,4.5,Tây,,Số đỏ/ Sổ hồng,4.0,,,,,7000000000.0
169,"Đất thổ cư, đất ở",,18.0,6.0,Tây Bắc,,,,,,,,390000000.0
170,"Nhà, ngõ, hẻm",,13.01,5.19,Tây,,Số đỏ/ Sổ hồng,4.0,,,,,3200000000.0
171,"Đất thổ cư, đất ở",,24.0,5.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,2100000000.0
172,"Nhà mặt phố, nhà mặt tiền",,18.0,6.0,,,Số đỏ/ Sổ hồng,3.0,,,,,3400000000.0
173,"Nhà mặt phố, nhà mặt tiền",,21.0,5.0,,,,9.0,,,,,2650000000.0
174,"Nhà, ngõ, hẻm",,6.0,575.0,Tây Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,1250000000.0
175,"Nhà, ngõ, hẻm",,9.6,4.5,,,Số đỏ/ Sổ hồng,2.0,,,,,3400000000.0
176,"Đất thổ cư, đất ở",,18.0,4.0,Nam,,Số đỏ/ Sổ hồng,,,,,,5450000000.0
177,"Nhà, ngõ, hẻm",,20.0,4.0,Đông,,Giấy tờ hợp lệ,3.0,,,,,2000000000.0
178,"Nhà mặt phố, nhà mặt tiền",,28.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,25000000000.0
179,"Nhà, ngõ, hẻm",,17.0,7.0,,,Số đỏ/ Sổ hồng,3.0,,,,,1850000000.0
180,"Đất thổ cư, đất ở",,30.0,20.0,,,Số đỏ/ Sổ hồng,,,,,,5980000000.0
181,"Nhà mặt phố, nhà mặt tiền",,18.0,6.0,,,Số đỏ/ Sổ hồng,3.0,,,,,5740000000.0
182,"Nhà, ngõ, hẻm",,18.0,4.0,,,Số đỏ/ Sổ hồng,7.0,,,,,5800000000.0
183,"Nhà mặt phố, nhà mặt tiền",,15.7,5.0,Tây Bắc,,Số đỏ/ Sổ hồng,4.0,,,,,4400000000.0
184,"Đất thổ cư, đất ở",,12.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,4500000000.0
185,"Đất nông, công, lâm nghiệp",,100.0,63.0,,,Số đỏ/ Sổ hồng,,,,,,19000000000.0
186,"Đất nông, công, lâm nghiệp",,50.0,20.0,,,Số đỏ/ Sổ hồng,,,,,,18500000000.0
187,"Nhà, ngõ, hẻm",,12.0,3.0,,,Giấy tờ hợp lệ,2.0,,,,,1600000000.0
188,"Nhà, ngõ, hẻm",,8.0,4.0,,,Giấy tờ hợp lệ,2.0,,,,,1850000000.0
189,"Đất nền, đất liền kề, đất dự án",,16.0,5.0,Đông Bắc,,,,,,,,3000000000.0
190,"Nhà mặt phố, nhà mặt tiền",,24.0,5.0,Nam,,Số đỏ/ Sổ hồng,1.0,,,,,4888888888.0
191,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,700000000.0
192,"Đất thổ cư, đất ở",,43.0,11.0,,,,,,,,,13000000000.0
193,"Đất thổ cư, đất ở",,42.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,690000000.0
194,"Nhà, ngõ, hẻm",,7.1,3.4,,,Số đỏ/ Sổ hồng,2.0,,,,,3500000000.0
195,"Đất thổ cư, đất ở",,24.0,10.0,Đông,,Số đỏ/ Sổ hồng,,,,,,396000000.0
196,"Đất thổ cư, đất ở",,45.0,12.8,Đông,,Số đỏ/ Sổ hồng,,,,,,15500000000.0
197,"Đất nông, công, lâm nghiệp",,45.0,15.0,Tây,,Số đỏ/ Sổ hồng,,,,,,1650000.0
198,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,400000000.0
199,"Nhà, ngõ, hẻm",,13.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,3400000000.0
200,"Biệt thự, nhà liền kề",,18.7,4.2,Tây Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,1850000000.0
201,"Biệt thự, nhà liền kề",,8.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,2200000000.0
202,"Đất thổ cư, đất ở",,19.0,15.0,Nam,,Số đỏ/ Sổ hồng,,,,,,290000000.0
203,"Biệt thự, nhà liền kề",,28.0,6.27,,,Số đỏ/ Sổ hồng,4.0,,,,,11500000000.0
204,"Nhà mặt phố, nhà mặt tiền",,20.0,10.0,Đông Nam,,,1.0,,,,,6930000000.0
205,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,399000000.0
206,"Đất nền, đất liền kề, đất dự án",,20.0,5.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,1390000000.0
207,"Đất thổ cư, đất ở",,27.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,940000000.0
208,"Đất thổ cư, đất ở",,20.0,5.0,Nam,,,,,,,,1920000000.0
209,"Nhà, ngõ, hẻm",,14.5,6.0,,,Số đỏ/ Sổ hồng,5.0,,,,,7990000000.0
210,"Đất thổ cư, đất ở",,40.0,25.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,1250000000.0
211,"Đất thổ cư, đất ở",,20.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,90000000.0
212,"Đất thổ cư, đất ở",,21.0,4.5,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,4550000000.0
213,"Nhà, ngõ, hẻm",,10.0,3.2,,,,3.0,,,,,2700000000.0
214,"Nhà mặt phố, nhà mặt tiền",,14.0,4.0,,,,3.0,,,,,850000000.0
215,"Nhà, ngõ, hẻm",,9.0,3.1,,,Số đỏ/ Sổ hồng,4.0,,,,,3050000000.0
216,"Biệt thự, nhà liền kề",,20.0,5.0,,,,3.0,,,,,3490000000.0
217,"Nhà, ngõ, hẻm",,5.0,4.0,Đông,,Giấy tờ hợp lệ,1.0,,,,,689000000.0
218,"Nhà mặt phố, nhà mặt tiền",,200.0,39.0,Đông,,Số đỏ/ Sổ hồng,3.0,,,,,7000000000.0
219,"Nhà, ngõ, hẻm",,10.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1850000000.0
220,"Nhà mặt phố, nhà mặt tiền",,5.2,7.2,Tây Nam,,Số đỏ/ Sổ hồng,4.0,,,,,4680000000.0
221,"Nhà mặt phố, nhà mặt tiền",,31.0,4.0,Đông Bắc,,Số đỏ/ Sổ hồng,5.0,,,,,13900000000.0
222,"Đất nông, công, lâm nghiệp",,500.0,200.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,3100000000.0
223,"Đất thổ cư, đất ở",,25.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,3000000000.0
224,"Đất nền, đất liền kề, đất dự án",,15.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,13000000.0
225,"Nhà, ngõ, hẻm",,100.0,32.0,,,Số đỏ/ Sổ hồng,2.0,,,,,3780000000.0
226,"Đất thổ cư, đất ở",,14.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,850000000.0
227,"Đất thổ cư, đất ở",,28.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1400000000.0
228,"Nhà, ngõ, hẻm",,12.7,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,4500000000.0
229,"Đất thổ cư, đất ở",,17.7,4.5,,,Số đỏ/ Sổ hồng,,,,,,4800000000.0
230,"Nhà, ngõ, hẻm",,19.0,5.4,Tây Nam,,Số đỏ/ Sổ hồng,3.0,,,,,3800000000.0
231,"Đất thổ cư, đất ở",,16.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,3150000000.0
232,"Nhà, ngõ, hẻm",,18.0,4.4,Tây Bắc,,Số đỏ/ Sổ hồng,4.0,,,,,4400000000.0
233,"Nhà, ngõ, hẻm",,12.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1400000000.0
234,"Nhà, ngõ, hẻm",,11.0,3.8,,,Số đỏ/ Sổ hồng,5.0,,,,,3650000000.0
